Word,Timestamp (seconds),YouTube URL
Dennis,0,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=0
Universe,1,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=1
there,2,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=2
is,3,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=3
one,4,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=4
great,5,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=5
energy,6,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=6
and,7,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=7
we,8,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=8
have,9,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=9
no,10,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=10
name,11,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=11
for,12,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=12
it,13,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=13
people,14,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=14
have,15,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=15
tried,16,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=16
various,17,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=17
names,18,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=18
for,19,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=19
it,20,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=20
like,21,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=21
God,22,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=22
like,23,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=23
Brockman,24,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=24
like,25,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=25
Dao,26,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=26
but,27,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=27
in,28,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=28
the,29,https://youtu.be/fcPWU59Luoc?si=Aqghc1-cELYUiq-h&t=29
